Year,Month,Value
1986,May,23.58
1986,Jun,31.14
1986,Jul,48.28
1986,Aug,20.11
1986,Sep,17.22
1986,Oct,36.49
1986,Nov,24.98
1986,Dec,30.87
1987,Jan,91.58
1987,Feb,101.59
1987,Mar,29.09
1987,Apr,15.25
1987,May,22.26
1987,Jun,28.46
1987,Jul,14.85
1987,Aug,17.53
1987,Sep,8.19
1987,Oct,18.35
1987,Nov,33.21
1987,Dec,69.72
1988,Jan,34.92
1988,Feb,47.79
1988,Mar,57.09
1988,Apr,41.24
1988,May,42.82
1988,Jun,18.85
1988,Jul,28.48
1988,Aug,21.34
1988,Sep,16.15
1988,Oct,10.6
1988,Nov,36.48
1988,Dec,98.5
1989,Jan,39.41
1989,Feb,42.54
1989,Mar,127.58
1989,Apr,56.9
1989,May,44.81
1989,Jun,31.69
1989,Jul,21.04
1989,Aug,10.67
1989,Sep,6.5
1989,Oct,19.8
1989,Nov,41.5
1989,Dec,37.86
1990,Jan,64.97
1990,Feb,39.74
1990,Mar,51.45
1990,Apr,62.91
1990,May,44.77
1990,Jun,21.41
1990,Jul,22.42
1990,Aug,20.22
1990,Sep,10.72
1990,Oct,16.56
1990,Nov,13.25
1990,Dec,44.75
1991,Jan,130.26
1991,Feb,120.58
1991,Mar,15.72
1991,Apr,13.96
1991,May,16.49
1991,Jun,36.5
1991,Jul,22.92
1991,Aug,11.89
1991,Sep,10.14
1991,Oct,7.69
1991,Nov,31.65
1991,Dec,43.01
1992,Jan,39.8
1992,Feb,86.43
1992,Mar,35.24
1992,Apr,38.11
1992,May,37.48
1992,Jun,21.52
1992,Jul,10.4
1992,Aug,31.91
1992,Sep,26.6
1992,Oct,29
1992,Nov,30.91
1992,Dec,60.51
1993,Jan,84.19
1993,Feb,110.53
1993,Mar,25.5
1993,Apr,8.68
1993,May,30.02
1993,Jun,25.16
1993,Jul,27.68
1993,Aug,21.23
1993,Sep,23.89
1993,Oct,28.52
1993,Nov,31.9
1993,Dec,70.66
1994,Jan,39.3
1994,Feb,102.81
1994,Mar,50.07
1994,Apr,8.98
1994,May,11.11
1994,Jun,16.8
1994,Jul,8.53
1994,Aug,8.41
1994,Sep,6.74
1994,Oct,12.22
1994,Nov,26.01
1994,Dec,47.7
1995,Jan,101.84
1995,Feb,109.63
1995,Mar,53.45
1995,Apr,26.63
1995,May,29.67
1995,Jun,23.9
1995,Jul,20.85
1995,Aug,9.64
1995,Sep,16.63
1995,Oct,24.63
1995,Nov,40.95
1995,Dec,60.33
1996,Jan,71.47
1996,Feb,43.23
1996,Mar,63.42
1996,Apr,37.01
1996,May,21.53
1996,Jun,26.83
1996,Jul,37.38
1996,Aug,22.42
1996,Sep,21.5
1996,Oct,27.87
1996,Nov,22.04
1996,Dec,67.56
1997,Jan,109.02
1997,Feb,118.92
1997,Mar,43.26
1997,Apr,10.04
1997,May,41.6
1997,Jun,13.01
1997,Jul,11.03
1997,Aug,17.83
1997,Sep,23.98
1997,Oct,20.52
1997,Nov,31.08
